Country,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Weighted Score,Composite Index,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Finland,0.8584705690526658,0.969,0.7619417475728154,0.961,0.182,0.8041766076090036,0.8660887034010832,Western Europe,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351
Denmark,0.8861894668188487,0.954,0.7658252427184462,0.934,0.196,0.807813150725266,0.8544603980081937,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139
Iceland,0.8754280123919779,0.983,0.7968932038834948,0.936,0.668,0.865651704688467,0.9030046663141472,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363
Israel,0.833523561063101,0.943,0.8220194174757278,0.809,0.708,0.8363119226878621,0.8352008156130508,Middle East and Northern Africa,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172
Netherlands,0.8829284200228272,0.93,0.7774757281553395,0.887,0.379,0.8161974580456831,0.8389922491188206,Western Europe,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761
Sweden,0.8733083319745637,0.939,0.8007766990291261,0.948,0.202,0.8123866743496506,0.8619130137485332,Western Europe,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262
Norway,0.9067340616337843,0.943,0.7755339805825239,0.947,0.283,0.8248537136357663,0.8669593516043737,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699
Switzerland,0.9191260394586661,0.92,0.8299029126213591,0.891,0.266,0.8274635399929395,0.848221959567546,Western Europe,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678
Luxembourg,0.9999999999999999,0.879,0.7823300970873781,0.915,0.345,0.8431325242718445,0.8478175092432038,Western Europe,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034
New Zealand,0.8372737648785261,0.952,0.7308737864077663,0.887,0.271,0.7844505760654994,0.8222060849689551,Australia and New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501
Austria,0.8759171694113809,0.888,0.7619417475728154,0.855,0.497,0.8088105877166181,0.8115853148495084,Western Europe,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088
Australia,0.863199086906897,0.934,0.7580582524271842,0.89,0.496,0.8183742891788651,0.8415725070517112,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562
Canada,0.8553725745964454,0.929,0.7716504854368931,0.874,0.42,0.808424393738157,0.8300010725098135,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811
Ireland,0.9783140388064567,0.905,0.7677669902912618,0.874,0.358,0.8333359592147525,0.8343299695964784,Western Europe,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901
United States,0.9002119680417414,0.919,0.5561165048543684,0.8,0.689,0.7817927166261145,0.7642867399728452,North America,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105
Germany,0.8726561226153594,0.896,0.7677669902912618,0.846,0.42,0.8018385843574234,0.8067879509264522,Western Europe,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214
Belgium,0.8669492907223216,0.915,0.7521941747572813,0.825,0.549,0.809783330906017,0.8086550809496217,Western Europe,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225
United Kingdom,0.8441219631501712,0.882,0.7289320388349512,0.852,0.454,0.7850695986537892,0.7920273170452374,Western Europe,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912
Lithuania,0.8219468449372248,0.939,0.6161941747572817,0.748,0.805,0.7811325971704878,0.7602843555422064,Central and Eastern Europe,56,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641
France,0.843632806130768,0.909,0.8066019417475725,0.819,0.553,0.8146903272761236,0.8140422640759836,Western Europe,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332
Slovenia,0.8252078917332463,0.951,0.758135922330097,0.913,0.771,0.8413463481024981,0.8699232104972703,Central and Eastern Europe,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328
Costa Rica,0.7215066036197618,0.872,0.7172815533980579,0.895,0.768,0.781222369435443,0.8054945126345189,Latin America and Caribbean,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497
Romania,0.7846078591227784,0.848,0.6027572815533979,0.856,0.929,0.776971678125183,0.7704162637474412,Central and Eastern Europe,86,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748
Singapore,0.9854883417577042,0.878,0.8648543689320385,0.878,0.146,0.8337600947603208,0.8371818896430193,Southeastern Asia,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105
United Arab Emirates,0.9160280450024457,0.826,0.5713786407766985,0.942,0.584,0.7825530736949083,0.7887137102023551,Middle East and Northern Africa,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428
Uruguay,0.7353660525028535,0.913,0.6201941747572812,0.895,0.575,0.7500083594401763,0.7869655000665979,Latin America and Caribbean,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324
Slovakia,0.7868905918799934,0.953,0.6721553398058249,0.753,0.898,0.7974560125154542,0.7825362540577491,Central and Eastern Europe,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893
Saudi Arabia,0.845915538887983,0.884,0.49976699029126204,0.894,0.691,0.7587164092392105,0.7690664714629116,Middle East and Northern Africa,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706
Estonia,0.8175444317625958,0.946,0.7036893203883494,0.929,0.409,0.7906356596258661,0.8369539743530812,Central and Eastern Europe,73,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868
Spain,0.8173813794227945,0.932,0.8085436893203877,0.782,0.711,0.8221503361569351,0.8136670134717168,Western Europe,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227
